date,open,high,low,volume,close,direction
07-12-2007,355.184875,356.680145,352.954376,7754200,355.125244,0
10-12-2007,355.681641,360.058167,354.693054,7762500,356.888794,1
11-12-2007,357.64386,358.165466,347.132233,12357900,347.340881,0
12-12-2007,354.693054,354.85202,342.025452,12398200,347.415405,1
13-12-2007,345.905212,346.556,338.404022,10147100,344.782532,0
14-12-2007,341.533661,347.589264,341.409454,7394600,342.750732,0
17-12-2007,341.777069,345.463104,329.690674,11043200,332.452728,0
18-12-2007,334.901794,336.168549,324.141785,14426500,334.49939,1
19-12-2007,334.926636,337.554535,332.33847,8899700,336.496429,1
20-12-2007,340.699066,343.267365,338.105957,8901900,342.616608,1
21-12-2007,346.68515,347.370697,344.380127,10833900,346.093994,1
24-12-2007,345.249481,348.100952,344.29071,3277900,348.100952,1
26-12-2007,347.236572,354.305573,346.849091,5092800,353.12326,1
27-12-2007,351.250458,355.686615,348.105896,5923100,348.105896,0
28-12-2007,350.187378,351.687622,346.01947,5158600,348.995117,1
31-12-2007,347.027924,348.97525,343.058746,4783200,343.505829,0
02-01-2008,344.19632,346.431793,336.675262,8669700,340.381134,0
03-01-2008,340.415924,341.20578,336.074158,6547200,340.450684,1
04-01-2008,337.648926,338.279816,325.383698,10789200,326.377228,0
07-01-2008,324.857117,329.000183,316.615723,12890000,322.527283,0
08-01-2008,324.390167,327.847656,313.461243,10747500,313.799042,0
09-01-2008,312.984344,324.559052,309.243683,13566900,324.489502,1
10-01-2008,320.420959,326.476593,317.986816,12750700,321.275421,0
11-01-2008,319.273438,322.636566,313.019104,10018600,317.062805,0
14-01-2008,323.466156,326.575928,320.540192,8952700,324.797516,1
15-01-2008,320.863098,322.427917,315.637085,11208800,316.76474,0
16-01-2008,312.452789,317.927185,299.020172,21257300,305.984863,0
17-01-2008,308.374329,310.848236,297.072815,16540400,298.453857,0
18-01-2008,302.214386,303.024109,297.291412,17190200,298.185577,0
22-01-2008,279.199066,296.819489,278.786774,19126600,290.286957,0
23-01-2008,278.543335,282.164795,257.82312,34152000,272.537415,0
24-01-2008,277.594513,287.972015,275.279572,18924000,285.388824,1
25-01-2008,293.992859,295.577545,281.260681,14022500,281.369965,0
28-01-2008,283.640198,284.271088,272.527466,11709000,276.193634,0
29-01-2008,278.424133,278.851349,268.588104,12647600,273.481262,0
30-01-2008,272.820557,278.404236,269.998932,15982400,272.363525,0
31-01-2008,267.763458,284.648621,265.418701,29936000,280.326752,1
01-02-2008,262.626862,266.601013,253.352188,35429900,256.283112,0
04-02-2008,252.890198,254.7332,244.683563,26485300,246.114258,0
05-02-2008,243.133652,252.855423,242.681595,22552200,251.762527,1
06-02-2008,253.918503,253.933411,247.356186,15372000,249.233978,0
07-02-2008,246.824646,255.433655,245.781433,15960800,250.843506,1
08-02-2008,253.059097,257.1922,252.70639,13746500,256.675568,1
11-02-2008,258.578186,260.162903,255.041199,11727700,258.896118,1
12-02-2008,260.003937,263.585632,254.857391,13411200,257.371063,0
13-02-2008,259.561798,265.766449,257.669098,13335500,265.582642,1
14-02-2008,267.435577,268.771912,263.784332,13037500,264.405304,0
15-02-2008,262.448029,264.608978,260.470886,10548300,263.108734,0
19-02-2008,265.741608,265.801208,251.613495,12783400,252.830582,0
20-02-2008,250.128159,253.853928,247.798309,13411000,252.855423,1
21-02-2008,254.767975,254.946823,248.136108,11429400,249.805252,0
22-02-2008,249.407837,252.855423,247.167419,11103500,252.259293,1
25-02-2008,251.340271,251.613495,241.300568,16854400,241.648315,0
26-02-2008,229.109863,231.727829,221.981232,46877300,230.5952,0
27-02-2008,228.578323,236.208694,228.3349,20375400,234.902191,1
28-02-2008,233.729813,237.997055,232.169952,13259400,236.159012,1
29-02-2008,234.410385,238.319962,230.823715,18973300,234.067612,0
03-03-2008,234.231552,234.832642,223.600693,15207200,227.033371,0
04-03-2008,224.017975,225.215195,216.481995,27420500,220.863495,0
05-03-2008,221.186401,225.617569,220.56543,14969800,222.403473,1
06-03-2008,222.398514,225.185379,214.196854,15037300,214.95195,0
07-03-2008,213.054291,218.578354,211.742813,16248500,215.274841,1
10-03-2008,213.029449,214.107437,205.185471,16079000,205.473587,0
11-03-2008,211.255981,218.652878,210.952957,17768500,218.498871,1
12-03-2008,218.583328,222.492905,217.619598,13390300,218.66777,1
13-03-2008,214.937042,222.045807,213.004608,15553600,220.073639,1
14-03-2008,220.058731,223.218185,213.918671,13234200,217.545074,0
17-03-2008,212.612167,215.453674,204.723465,15878900,208.5784,0
18-03-2008,213.103958,218.995651,211.390106,14568400,218.161072,1
19-03-2008,219.129776,222.304123,214.440277,12438300,214.604202,0
20-03-2008,212.279327,216.442245,207.401062,19955600,215.374191,1
24-03-2008,217.798431,231.385056,217.445724,13614900,228.791931,1
25-03-2008,227.251938,227.256912,221.558975,11738900,223.933533,0
26-03-2008,224.832687,229.939468,223.193344,10519300,227.614594,1
27-03-2008,221.558975,222.855545,218.821777,11740100,220.605179,0
28-03-2008,222.284256,225.319519,215.75174,8809200,217.624557,0
31-03-2008,216.412445,219.914673,214.609177,8950500,218.811844,1
01-04-2008,222.423355,231.742737,221.991165,12265300,231.350296,1
02-04-2008,233.431747,236.332886,228.707474,12075900,231.345322,0
03-04-2008,229.373154,230.148102,222.617096,13644900,226.089508,0
04-04-2008,227.028397,237.371124,226.626022,11871000,234.022903,1
07-04-2008,236.973709,241.151535,235.235016,11964200,236.8694,1
08-04-2008,234.991608,235.538055,229.512238,9153000,232.393509,0
09-04-2008,233.04924,234.47496,227.291687,12174700,230.5952,0
10-04-2008,230.977707,235.398956,229.432755,10210700,233.024399,1
11-04-2008,230.535583,232.120285,226.034866,8393600,227.246979,0
14-04-2008,227.102921,227.246979,223.62056,7735100,224.370682,0
15-04-2008,227.584778,228.374649,220.426346,9214600,221.976257,0
16-04-2008,220.764145,227.659302,219.075134,15360600,226.0448,1
17-04-2008,226.342865,228.200775,221.817291,26879600,223.317535,0
18-04-2008,265.875732,272.080383,260.689453,36708300,267.962158,1
21-04-2008,267.95224,269.541901,263.431641,14976000,267.15741,0
22-04-2008,267.048096,278.602966,267.043152,15980200,275.706787,1
23-04-2008,277.167297,277.84787,268.727203,9906900,271.479279,0
24-04-2008,273.86377,275.45343,268.265198,8323900,269.765442,0
25-04-2008,272.736115,274.713257,269.61145,8382900,270.272125,1
28-04-2008,271.17627,276.605957,267.758484,8069300,274.276093,1
29-04-2008,273.635254,279.879639,273.227905,8748400,277.430573,1
30-04-2008,279.288483,290.540314,277.430573,15908800,285.289459,1
01-05-2008,287.286469,295.542786,286.620819,13291400,294.623749,1
02-05-2008,297.311279,299.278473,287.77829,14088500,288.766846,0
05-05-2008,297.495087,297.564636,291.667969,12643600,295.527863,1
06-05-2008,293.590485,294.08725,289.616333,9318700,291.285461,0
07-05-2008,293.227844,297.808044,286.352539,13311900,287.629242,0
08-05-2008,291.205994,292.745972,287.584534,10312300,289.621307,1
09-05-2008,287.629242,290.609863,283.804138,9028000,284.747986,0
12-05-2008,285.517975,291.479218,282.616852,9791000,290.580048,1
13-05-2008,291.220886,292.075317,287.405701,10394100,289.616333,0
14-05-2008,291.350037,293.684875,285.766357,8808400,286.287964,0
